,point,Large_Std_TMY_PASSIVE,Large_Std_2070_PASSIVE,Large_Med_TMY_PASSIVE,Large_Med_2070_PASSIVE,Large_High_TMY_PASSIVE,Large_High_2070_PASSIVE
170,"[49.5, 2.5, 0.800000011920929]",25.72,27.57,17.9,24.59,16.19,20.58
171,"[49.5, 3.5, 0.800000011920929]",27.0,28.53,25.09,26.25,16.48,20.53
172,"[49.5, 4.5, 0.800000011920929]",26.91,28.37,24.59,26.52,16.37,17.79
173,"[49.5, 5.5, 0.800000011920929]",26.95,28.56,25.28,26.2,16.39,17.8
174,"[49.5, 6.5, 0.800000011920929]",26.88,28.65,24.9,26.54,16.6,20.43
175,"[49.5, 7.5, 0.800000011920929]",27.12,28.48,25.14,26.8,16.73,20.48
176,"[49.5, 8.5, 0.800000011920929]",26.99,28.27,24.91,26.19,16.72,20.51
177,"[49.5, 9.5, 0.800000011920929]",26.07,27.26,17.34,21.23,15.95,17.73
178,"[49.5, 10.5, 0.800000011920929]",18.86,22.67,17.03,21.23,15.83,17.68
179,"[49.5, 11.5, 0.800000011920929]",18.89,22.81,17.1,21.31,15.9,17.72
