,spatial-minus-zoneMean-mrt,Size,Design,Weather,Operation
8992,0.51,Small,Medium,TMY,PASSIVE
8993,0.18,Small,Medium,TMY,PASSIVE
8994,-0.19,Small,Medium,TMY,PASSIVE
8995,-0.23,Small,Medium,TMY,PASSIVE
8996,-0.22,Small,Medium,TMY,PASSIVE
8997,-0.21,Small,Medium,TMY,PASSIVE
8998,-0.19,Small,Medium,TMY,PASSIVE
8999,-0.24,Small,Medium,TMY,PASSIVE
9000,-0.3,Small,Medium,TMY,PASSIVE
9001,-0.32,Small,Medium,TMY,PASSIVE
9002,-0.33,Small,Medium,TMY,PASSIVE
9003,-0.34,Small,Medium,TMY,PASSIVE
9004,-0.36,Small,Medium,TMY,PASSIVE
9005,-0.27,Small,Medium,TMY,PASSIVE
9006,0.25,Small,Medium,TMY,PASSIVE
9007,0.67,Small,Medium,TMY,PASSIVE
9008,0.47,Small,Medium,TMY,PASSIVE
9009,0.74,Small,Medium,TMY,PASSIVE
9010,1.0,Small,Medium,TMY,PASSIVE
9011,1.16,Small,Medium,TMY,PASSIVE
9012,1.16,Small,Medium,TMY,PASSIVE
9013,0.95,Small,Medium,TMY,PASSIVE
9014,0.55,Small,Medium,TMY,PASSIVE
9015,0.32,Small,Medium,TMY,PASSIVE
9016,0.47,Small,Medium,TMY,PASSIVE
9017,0.13,Small,Medium,TMY,PASSIVE
9018,-0.31,Small,Medium,TMY,PASSIVE
9019,-0.38,Small,Medium,TMY,PASSIVE
9020,-0.37,Small,Medium,TMY,PASSIVE
9021,-0.38,Small,Medium,TMY,PASSIVE
9022,-0.39,Small,Medium,TMY,PASSIVE
9023,-0.43,Small,Medium,TMY,PASSIVE
9024,-0.46,Small,Medium,TMY,PASSIVE
9025,-0.5,Small,Medium,TMY,PASSIVE
9026,-0.53,Small,Medium,TMY,PASSIVE
9027,-0.55,Small,Medium,TMY,PASSIVE
9028,-0.58,Small,Medium,TMY,PASSIVE
9029,-0.53,Small,Medium,TMY,PASSIVE
9030,-0.23,Small,Medium,TMY,PASSIVE
9031,0.19,Small,Medium,TMY,PASSIVE
9032,0.29,Small,Medium,TMY,PASSIVE
9033,0.58,Small,Medium,TMY,PASSIVE
9034,0.85,Small,Medium,TMY,PASSIVE
9035,1.08,Small,Medium,TMY,PASSIVE
9036,1.11,Small,Medium,TMY,PASSIVE
9037,0.93,Small,Medium,TMY,PASSIVE
9038,0.64,Small,Medium,TMY,PASSIVE
9039,0.36,Small,Medium,TMY,PASSIVE
9040,0.19,Small,Medium,TMY,PASSIVE
9041,0.08,Small,Medium,TMY,PASSIVE
9042,-0.17,Small,Medium,TMY,PASSIVE
9043,-0.32,Small,Medium,TMY,PASSIVE
9044,-0.31,Small,Medium,TMY,PASSIVE
9045,-0.31,Small,Medium,TMY,PASSIVE
9046,-0.31,Small,Medium,TMY,PASSIVE
9047,-0.33,Small,Medium,TMY,PASSIVE
9048,-0.38,Small,Medium,TMY,PASSIVE
9049,-0.41,Small,Medium,TMY,PASSIVE
9050,-0.43,Small,Medium,TMY,PASSIVE
9051,-0.45,Small,Medium,TMY,PASSIVE
9052,-0.45,Small,Medium,TMY,PASSIVE
9053,-0.4,Small,Medium,TMY,PASSIVE
9054,0.1,Small,Medium,TMY,PASSIVE
9055,0.11,Small,Medium,TMY,PASSIVE
9056,0.35,Small,Medium,TMY,PASSIVE
9057,0.67,Small,Medium,TMY,PASSIVE
9058,0.94,Small,Medium,TMY,PASSIVE
9059,1.13,Small,Medium,TMY,PASSIVE
9060,1.2,Small,Medium,TMY,PASSIVE
9061,0.95,Small,Medium,TMY,PASSIVE
9062,1.02,Small,Medium,TMY,PASSIVE
9063,0.3,Small,Medium,TMY,PASSIVE
9064,0.15,Small,Medium,TMY,PASSIVE
9065,0.11,Small,Medium,TMY,PASSIVE
9066,-0.11,Small,Medium,TMY,PASSIVE
9067,-0.2,Small,Medium,TMY,PASSIVE
9068,-0.19,Small,Medium,TMY,PASSIVE
9069,-0.18,Small,Medium,TMY,PASSIVE
9070,-0.17,Small,Medium,TMY,PASSIVE
9071,-0.19,Small,Medium,TMY,PASSIVE
9072,-0.22,Small,Medium,TMY,PASSIVE
9073,-0.22,Small,Medium,TMY,PASSIVE
9074,-0.24,Small,Medium,TMY,PASSIVE
9075,-0.26,Small,Medium,TMY,PASSIVE
9076,-0.31,Small,Medium,TMY,PASSIVE
9077,-0.28,Small,Medium,TMY,PASSIVE
9078,0.33,Small,Medium,TMY,PASSIVE
9079,0.58,Small,Medium,TMY,PASSIVE
9080,0.93,Small,Medium,TMY,PASSIVE
9081,1.03,Small,Medium,TMY,PASSIVE
9082,1.66,Small,Medium,TMY,PASSIVE
9083,1.45,Small,Medium,TMY,PASSIVE
9084,0.97,Small,Medium,TMY,PASSIVE
9085,0.8,Small,Medium,TMY,PASSIVE
9086,0.69,Small,Medium,TMY,PASSIVE
9087,0.53,Small,Medium,TMY,PASSIVE
9088,0.39,Small,Medium,TMY,PASSIVE
9089,0.14,Small,Medium,TMY,PASSIVE
9090,-0.16,Small,Medium,TMY,PASSIVE
9091,-0.19,Small,Medium,TMY,PASSIVE
9092,-0.22,Small,Medium,TMY,PASSIVE
9093,-0.23,Small,Medium,TMY,PASSIVE
9094,-0.21,Small,Medium,TMY,PASSIVE
9095,-0.21,Small,Medium,TMY,PASSIVE
9096,-0.21,Small,Medium,TMY,PASSIVE
9097,-0.21,Small,Medium,TMY,PASSIVE
9098,-0.22,Small,Medium,TMY,PASSIVE
9099,-0.25,Small,Medium,TMY,PASSIVE
9100,-0.3,Small,Medium,TMY,PASSIVE
9101,-0.26,Small,Medium,TMY,PASSIVE
9102,0.08,Small,Medium,TMY,PASSIVE
9103,0.17,Small,Medium,TMY,PASSIVE
9104,0.97,Small,Medium,TMY,PASSIVE
9105,1.52,Small,Medium,TMY,PASSIVE
9106,1.62,Small,Medium,TMY,PASSIVE
9107,1.9,Small,Medium,TMY,PASSIVE
9108,2.14,Small,Medium,TMY,PASSIVE
9109,1.94,Small,Medium,TMY,PASSIVE
9110,1.44,Small,Medium,TMY,PASSIVE
9111,0.5,Small,Medium,TMY,PASSIVE
9112,0.15,Small,Medium,TMY,PASSIVE
9113,0.13,Small,Medium,TMY,PASSIVE
9114,-0.19,Small,Medium,TMY,PASSIVE
9115,-0.24,Small,Medium,TMY,PASSIVE
9116,-0.25,Small,Medium,TMY,PASSIVE
9117,-0.25,Small,Medium,TMY,PASSIVE
9118,-0.25,Small,Medium,TMY,PASSIVE
9119,-0.25,Small,Medium,TMY,PASSIVE
9120,-0.24,Small,Medium,TMY,PASSIVE
9121,-0.25,Small,Medium,TMY,PASSIVE
9122,-0.25,Small,Medium,TMY,PASSIVE
9123,-0.25,Small,Medium,TMY,PASSIVE
9124,-0.27,Small,Medium,TMY,PASSIVE
9125,-0.24,Small,Medium,TMY,PASSIVE
9126,0.26,Small,Medium,TMY,PASSIVE
9127,0.72,Small,Medium,TMY,PASSIVE
9128,1.17,Small,Medium,TMY,PASSIVE
9129,1.63,Small,Medium,TMY,PASSIVE
9130,1.45,Small,Medium,TMY,PASSIVE
9131,2.32,Small,Medium,TMY,PASSIVE
9132,2.46,Small,Medium,TMY,PASSIVE
9133,2.15,Small,Medium,TMY,PASSIVE
9134,1.58,Small,Medium,TMY,PASSIVE
9135,0.89,Small,Medium,TMY,PASSIVE
9136,0.51,Small,Medium,TMY,PASSIVE
9137,0.29,Small,Medium,TMY,PASSIVE
9138,-0.11,Small,Medium,TMY,PASSIVE
9139,-0.21,Small,Medium,TMY,PASSIVE
9140,-0.2,Small,Medium,TMY,PASSIVE
9141,-0.19,Small,Medium,TMY,PASSIVE
9142,-0.18,Small,Medium,TMY,PASSIVE
9143,-0.2,Small,Medium,TMY,PASSIVE
9144,-0.21,Small,Medium,TMY,PASSIVE
9145,-0.23,Small,Medium,TMY,PASSIVE
9146,-0.25,Small,Medium,TMY,PASSIVE
9147,-0.26,Small,Medium,TMY,PASSIVE
9148,-0.31,Small,Medium,TMY,PASSIVE
9149,-0.22,Small,Medium,TMY,PASSIVE
9150,0.29,Small,Medium,TMY,PASSIVE
9151,0.32,Small,Medium,TMY,PASSIVE
9152,0.39,Small,Medium,TMY,PASSIVE
9153,0.68,Small,Medium,TMY,PASSIVE
9154,0.92,Small,Medium,TMY,PASSIVE
9155,1.12,Small,Medium,TMY,PASSIVE
9156,1.17,Small,Medium,TMY,PASSIVE
9157,0.94,Small,Medium,TMY,PASSIVE
9158,0.74,Small,Medium,TMY,PASSIVE
9159,0.42,Small,Medium,TMY,PASSIVE
9160,0.15,Small,Medium,TMY,PASSIVE
9161,0.17,Small,Medium,TMY,PASSIVE
9162,-0.11,Small,Medium,TMY,PASSIVE
9163,-0.21,Small,Medium,TMY,PASSIVE
9164,-0.19,Small,Medium,TMY,PASSIVE
9165,-0.18,Small,Medium,TMY,PASSIVE
9166,-0.19,Small,Medium,TMY,PASSIVE
9167,-0.21,Small,Medium,TMY,PASSIVE
9168,-0.24,Small,Medium,TMY,PASSIVE
9169,-0.28,Small,Medium,TMY,PASSIVE
9170,-0.29,Small,Medium,TMY,PASSIVE
9171,-0.31,Small,Medium,TMY,PASSIVE
9172,-0.31,Small,Medium,TMY,PASSIVE
9173,-0.25,Small,Medium,TMY,PASSIVE
9174,0.26,Small,Medium,TMY,PASSIVE
9175,0.38,Small,Medium,TMY,PASSIVE
9176,0.68,Small,Medium,TMY,PASSIVE
9177,1.81,Small,Medium,TMY,PASSIVE
9178,2.25,Small,Medium,TMY,PASSIVE
9179,1.66,Small,Medium,TMY,PASSIVE
9180,1.43,Small,Medium,TMY,PASSIVE
9181,0.96,Small,Medium,TMY,PASSIVE
9182,0.61,Small,Medium,TMY,PASSIVE
9183,0.37,Small,Medium,TMY,PASSIVE
9184,0.17,Small,Medium,TMY,PASSIVE
9185,0.13,Small,Medium,TMY,PASSIVE
9186,-0.12,Small,Medium,TMY,PASSIVE
9187,-0.23,Small,Medium,TMY,PASSIVE
9188,-0.21,Small,Medium,TMY,PASSIVE
9189,-0.21,Small,Medium,TMY,PASSIVE
9190,-0.2,Small,Medium,TMY,PASSIVE
9191,-0.22,Small,Medium,TMY,PASSIVE
9192,-0.25,Small,Medium,TMY,PASSIVE
9193,-0.26,Small,Medium,TMY,PASSIVE
9194,-0.27,Small,Medium,TMY,PASSIVE
9195,-0.27,Small,Medium,TMY,PASSIVE
9196,-0.28,Small,Medium,TMY,PASSIVE
9197,-0.23,Small,Medium,TMY,PASSIVE
9198,0.19,Small,Medium,TMY,PASSIVE
9199,0.62,Small,Medium,TMY,PASSIVE
9200,1.2,Small,Medium,TMY,PASSIVE
9201,1.77,Small,Medium,TMY,PASSIVE
9202,1.25,Small,Medium,TMY,PASSIVE
9203,2.19,Small,Medium,TMY,PASSIVE
9204,2.29,Small,Medium,TMY,PASSIVE
9205,2.17,Small,Medium,TMY,PASSIVE
9206,1.61,Small,Medium,TMY,PASSIVE
9207,1.02,Small,Medium,TMY,PASSIVE
9208,0.63,Small,Medium,TMY,PASSIVE
9209,0.3,Small,Medium,TMY,PASSIVE
9210,-0.16,Small,Medium,TMY,PASSIVE
9211,-0.24,Small,Medium,TMY,PASSIVE
9212,-0.22,Small,Medium,TMY,PASSIVE
9213,-0.21,Small,Medium,TMY,PASSIVE
9214,-0.21,Small,Medium,TMY,PASSIVE
9215,-0.22,Small,Medium,TMY,PASSIVE
9216,-0.24,Small,Medium,TMY,PASSIVE
9217,-0.25,Small,Medium,TMY,PASSIVE
9218,-0.26,Small,Medium,TMY,PASSIVE
9219,-0.28,Small,Medium,TMY,PASSIVE
9220,-0.3,Small,Medium,TMY,PASSIVE
9221,-0.25,Small,Medium,TMY,PASSIVE
9222,0.24,Small,Medium,TMY,PASSIVE
9223,0.53,Small,Medium,TMY,PASSIVE
9224,1.32,Small,Medium,TMY,PASSIVE
9225,1.24,Small,Medium,TMY,PASSIVE
9226,0.8,Small,Medium,TMY,PASSIVE
9227,1.74,Small,Medium,TMY,PASSIVE
9228,2.55,Small,Medium,TMY,PASSIVE
9229,1.84,Small,Medium,TMY,PASSIVE
9230,1.11,Small,Medium,TMY,PASSIVE
9231,0.77,Small,Medium,TMY,PASSIVE
9232,0.79,Small,Medium,TMY,PASSIVE
9233,0.33,Small,Medium,TMY,PASSIVE
9234,-0.14,Small,Medium,TMY,PASSIVE
9235,-0.21,Small,Medium,TMY,PASSIVE
9236,-0.2,Small,Medium,TMY,PASSIVE
9237,-0.19,Small,Medium,TMY,PASSIVE
9238,-0.18,Small,Medium,TMY,PASSIVE
9239,-0.2,Small,Medium,TMY,PASSIVE
9240,-0.21,Small,Medium,TMY,PASSIVE
9241,-0.23,Small,Medium,TMY,PASSIVE
9242,-0.24,Small,Medium,TMY,PASSIVE
9243,-0.24,Small,Medium,TMY,PASSIVE
9244,-0.23,Small,Medium,TMY,PASSIVE
9245,-0.21,Small,Medium,TMY,PASSIVE
9246,0.09,Small,Medium,TMY,PASSIVE
9247,0.29,Small,Medium,TMY,PASSIVE
9248,0.32,Small,Medium,TMY,PASSIVE
9249,0.29,Small,Medium,TMY,PASSIVE
9250,0.54,Small,Medium,TMY,PASSIVE
9251,0.88,Small,Medium,TMY,PASSIVE
9252,1.36,Small,Medium,TMY,PASSIVE
9253,1.78,Small,Medium,TMY,PASSIVE
9254,1.74,Small,Medium,TMY,PASSIVE
9255,1.54,Small,Medium,TMY,PASSIVE
9256,0.96,Small,Medium,TMY,PASSIVE
9257,0.5,Small,Medium,TMY,PASSIVE
9258,-0.08,Small,Medium,TMY,PASSIVE
9259,-0.22,Small,Medium,TMY,PASSIVE
9260,-0.22,Small,Medium,TMY,PASSIVE
9261,-0.23,Small,Medium,TMY,PASSIVE
9262,-0.24,Small,Medium,TMY,PASSIVE
9263,-0.25,Small,Medium,TMY,PASSIVE
9264,-0.26,Small,Medium,TMY,PASSIVE
9265,-0.25,Small,Medium,TMY,PASSIVE
9266,-0.26,Small,Medium,TMY,PASSIVE
9267,-0.25,Small,Medium,TMY,PASSIVE
9268,-0.24,Small,Medium,TMY,PASSIVE
9269,-0.2,Small,Medium,TMY,PASSIVE
9270,0.19,Small,Medium,TMY,PASSIVE
9271,0.68,Small,Medium,TMY,PASSIVE
9272,1.25,Small,Medium,TMY,PASSIVE
9273,1.6,Small,Medium,TMY,PASSIVE
9274,2.36,Small,Medium,TMY,PASSIVE
9275,2.57,Small,Medium,TMY,PASSIVE
9276,2.47,Small,Medium,TMY,PASSIVE
9277,2.15,Small,Medium,TMY,PASSIVE
9278,1.74,Small,Medium,TMY,PASSIVE
9279,1.24,Small,Medium,TMY,PASSIVE
9280,0.71,Small,Medium,TMY,PASSIVE
9281,0.28,Small,Medium,TMY,PASSIVE
9282,-0.2,Small,Medium,TMY,PASSIVE
9283,-0.31,Small,Medium,TMY,PASSIVE
9284,-0.31,Small,Medium,TMY,PASSIVE
9285,-0.31,Small,Medium,TMY,PASSIVE
9286,-0.31,Small,Medium,TMY,PASSIVE
9287,-0.32,Small,Medium,TMY,PASSIVE
9288,-0.32,Small,Medium,TMY,PASSIVE
9289,-0.35,Small,Medium,TMY,PASSIVE
9290,-0.36,Small,Medium,TMY,PASSIVE
9291,-0.36,Small,Medium,TMY,PASSIVE
9292,-0.34,Small,Medium,TMY,PASSIVE
9293,-0.29,Small,Medium,TMY,PASSIVE
9294,0.21,Small,Medium,TMY,PASSIVE
9295,0.34,Small,Medium,TMY,PASSIVE
9296,0.63,Small,Medium,TMY,PASSIVE
9297,1.83,Small,Medium,TMY,PASSIVE
9298,2.45,Small,Medium,TMY,PASSIVE
9299,2.66,Small,Medium,TMY,PASSIVE
9300,2.04,Small,Medium,TMY,PASSIVE
9301,2.04,Small,Medium,TMY,PASSIVE
9302,1.59,Small,Medium,TMY,PASSIVE
9303,1.09,Small,Medium,TMY,PASSIVE
9304,0.59,Small,Medium,TMY,PASSIVE
9305,0.26,Small,Medium,TMY,PASSIVE
9306,-0.15,Small,Medium,TMY,PASSIVE
9307,-0.21,Small,Medium,TMY,PASSIVE
9308,-0.21,Small,Medium,TMY,PASSIVE
9309,-0.2,Small,Medium,TMY,PASSIVE
9310,-0.19,Small,Medium,TMY,PASSIVE
9311,-0.21,Small,Medium,TMY,PASSIVE
9312,-0.22,Small,Medium,TMY,PASSIVE
9313,-0.25,Small,Medium,TMY,PASSIVE
9314,-0.26,Small,Medium,TMY,PASSIVE
9315,-0.26,Small,Medium,TMY,PASSIVE
9316,-0.28,Small,Medium,TMY,PASSIVE
9317,-0.23,Small,Medium,TMY,PASSIVE
9318,0.28,Small,Medium,TMY,PASSIVE
9319,0.67,Small,Medium,TMY,PASSIVE
9320,0.94,Small,Medium,TMY,PASSIVE
9321,1.43,Small,Medium,TMY,PASSIVE
9322,1.65,Small,Medium,TMY,PASSIVE
9323,1.78,Small,Medium,TMY,PASSIVE
9324,1.4,Small,Medium,TMY,PASSIVE
9325,0.93,Small,Medium,TMY,PASSIVE
9326,0.79,Small,Medium,TMY,PASSIVE
9327,0.63,Small,Medium,TMY,PASSIVE
9328,0.68,Small,Medium,TMY,PASSIVE
9329,0.3,Small,Medium,TMY,PASSIVE
9330,-0.13,Small,Medium,TMY,PASSIVE
9331,-0.18,Small,Medium,TMY,PASSIVE
9332,-0.18,Small,Medium,TMY,PASSIVE
9333,-0.16,Small,Medium,TMY,PASSIVE
9334,-0.15,Small,Medium,TMY,PASSIVE
9335,-0.17,Small,Medium,TMY,PASSIVE
9336,-0.17,Small,Medium,TMY,PASSIVE
9337,-0.18,Small,Medium,TMY,PASSIVE
9338,-0.19,Small,Medium,TMY,PASSIVE
9339,-0.19,Small,Medium,TMY,PASSIVE
9340,-0.19,Small,Medium,TMY,PASSIVE
9341,-0.17,Small,Medium,TMY,PASSIVE
9342,0.18,Small,Medium,TMY,PASSIVE
9343,0.68,Small,Medium,TMY,PASSIVE
9344,1.24,Small,Medium,TMY,PASSIVE
9345,1.05,Small,Medium,TMY,PASSIVE
9346,1.28,Small,Medium,TMY,PASSIVE
9347,1.14,Small,Medium,TMY,PASSIVE
9348,0.76,Small,Medium,TMY,PASSIVE
9349,0.67,Small,Medium,TMY,PASSIVE
9350,0.53,Small,Medium,TMY,PASSIVE
9351,0.28,Small,Medium,TMY,PASSIVE
9352,0.16,Small,Medium,TMY,PASSIVE
9353,0.07,Small,Medium,TMY,PASSIVE
9354,-0.17,Small,Medium,TMY,PASSIVE
9355,-0.19,Small,Medium,TMY,PASSIVE
9356,-0.18,Small,Medium,TMY,PASSIVE
9357,-0.18,Small,Medium,TMY,PASSIVE
9358,-0.18,Small,Medium,TMY,PASSIVE
9359,-0.19,Small,Medium,TMY,PASSIVE
9360,-0.21,Small,Medium,TMY,PASSIVE
9361,-0.22,Small,Medium,TMY,PASSIVE
9362,-0.22,Small,Medium,TMY,PASSIVE
9363,-0.21,Small,Medium,TMY,PASSIVE
9364,-0.22,Small,Medium,TMY,PASSIVE
9365,-0.17,Small,Medium,TMY,PASSIVE
9366,0.38,Small,Medium,TMY,PASSIVE
9367,0.85,Small,Medium,TMY,PASSIVE
9368,1.14,Small,Medium,TMY,PASSIVE
9369,1.27,Small,Medium,TMY,PASSIVE
9370,1.42,Small,Medium,TMY,PASSIVE
9371,2.56,Small,Medium,TMY,PASSIVE
9372,2.71,Small,Medium,TMY,PASSIVE
9373,2.45,Small,Medium,TMY,PASSIVE
9374,1.77,Small,Medium,TMY,PASSIVE
9375,0.93,Small,Medium,TMY,PASSIVE
9376,0.79,Small,Medium,TMY,PASSIVE
9377,0.41,Small,Medium,TMY,PASSIVE
9378,-0.11,Small,Medium,TMY,PASSIVE
9379,-0.19,Small,Medium,TMY,PASSIVE
9380,-0.19,Small,Medium,TMY,PASSIVE
9381,-0.18,Small,Medium,TMY,PASSIVE
9382,-0.18,Small,Medium,TMY,PASSIVE
9383,-0.19,Small,Medium,TMY,PASSIVE
9384,-0.21,Small,Medium,TMY,PASSIVE
9385,-0.22,Small,Medium,TMY,PASSIVE
9386,-0.24,Small,Medium,TMY,PASSIVE
9387,-0.25,Small,Medium,TMY,PASSIVE
9388,-0.25,Small,Medium,TMY,PASSIVE
9389,-0.22,Small,Medium,TMY,PASSIVE
9390,0.18,Small,Medium,TMY,PASSIVE
9391,0.7,Small,Medium,TMY,PASSIVE
9392,1.08,Small,Medium,TMY,PASSIVE
9393,1.44,Small,Medium,TMY,PASSIVE
9394,2.0,Small,Medium,TMY,PASSIVE
9395,1.37,Small,Medium,TMY,PASSIVE
9396,1.06,Small,Medium,TMY,PASSIVE
9397,1.2,Small,Medium,TMY,PASSIVE
9398,1.4,Small,Medium,TMY,PASSIVE
9399,1.1,Small,Medium,TMY,PASSIVE
9400,0.84,Small,Medium,TMY,PASSIVE
9401,0.38,Small,Medium,TMY,PASSIVE
9402,-0.15,Small,Medium,TMY,PASSIVE
9403,-0.21,Small,Medium,TMY,PASSIVE
9404,-0.2,Small,Medium,TMY,PASSIVE
9405,-0.18,Small,Medium,TMY,PASSIVE
9406,-0.18,Small,Medium,TMY,PASSIVE
9407,-0.22,Small,Medium,TMY,PASSIVE
9408,-0.24,Small,Medium,TMY,PASSIVE
9409,-0.23,Small,Medium,TMY,PASSIVE
9410,-0.22,Small,Medium,TMY,PASSIVE
9411,-0.23,Small,Medium,TMY,PASSIVE
9412,-0.23,Small,Medium,TMY,PASSIVE
9413,-0.2,Small,Medium,TMY,PASSIVE
9414,0.18,Small,Medium,TMY,PASSIVE
9415,0.77,Small,Medium,TMY,PASSIVE
9416,1.65,Small,Medium,TMY,PASSIVE
9417,2.04,Small,Medium,TMY,PASSIVE
9418,2.59,Small,Medium,TMY,PASSIVE
9419,2.8,Small,Medium,TMY,PASSIVE
9420,2.7,Small,Medium,TMY,PASSIVE
9421,2.25,Small,Medium,TMY,PASSIVE
9422,1.6,Small,Medium,TMY,PASSIVE
9423,1.17,Small,Medium,TMY,PASSIVE
9424,0.67,Small,Medium,TMY,PASSIVE
9425,0.42,Small,Medium,TMY,PASSIVE
9426,-0.06,Small,Medium,TMY,PASSIVE
9427,-0.18,Small,Medium,TMY,PASSIVE
9428,-0.2,Small,Medium,TMY,PASSIVE
9429,-0.21,Small,Medium,TMY,PASSIVE
9430,-0.21,Small,Medium,TMY,PASSIVE
9431,-0.22,Small,Medium,TMY,PASSIVE
9432,-0.23,Small,Medium,TMY,PASSIVE
9433,-0.24,Small,Medium,TMY,PASSIVE
9434,-0.25,Small,Medium,TMY,PASSIVE
9435,-0.26,Small,Medium,TMY,PASSIVE
9436,-0.26,Small,Medium,TMY,PASSIVE
9437,-0.21,Small,Medium,TMY,PASSIVE
9438,0.21,Small,Medium,TMY,PASSIVE
9439,0.69,Small,Medium,TMY,PASSIVE
9440,1.15,Small,Medium,TMY,PASSIVE
9441,1.07,Small,Medium,TMY,PASSIVE
9442,1.99,Small,Medium,TMY,PASSIVE
9443,2.1,Small,Medium,TMY,PASSIVE
9444,1.8,Small,Medium,TMY,PASSIVE
9445,1.47,Small,Medium,TMY,PASSIVE
9446,1.34,Small,Medium,TMY,PASSIVE
9447,1.1,Small,Medium,TMY,PASSIVE
9448,0.6,Small,Medium,TMY,PASSIVE
9449,0.17,Small,Medium,TMY,PASSIVE
9450,-0.23,Small,Medium,TMY,PASSIVE
9451,-0.27,Small,Medium,TMY,PASSIVE
9452,-0.27,Small,Medium,TMY,PASSIVE
9453,-0.26,Small,Medium,TMY,PASSIVE
9454,-0.28,Small,Medium,TMY,PASSIVE
9455,-0.27,Small,Medium,TMY,PASSIVE
9456,-0.28,Small,Medium,TMY,PASSIVE
9457,-0.29,Small,Medium,TMY,PASSIVE
9458,-0.32,Small,Medium,TMY,PASSIVE
9459,-0.34,Small,Medium,TMY,PASSIVE
9460,-0.33,Small,Medium,TMY,PASSIVE
9461,-0.29,Small,Medium,TMY,PASSIVE
9462,0.16,Small,Medium,TMY,PASSIVE
9463,0.74,Small,Medium,TMY,PASSIVE
9464,1.01,Small,Medium,TMY,PASSIVE
9465,1.03,Small,Medium,TMY,PASSIVE
9466,1.27,Small,Medium,TMY,PASSIVE
9467,1.63,Small,Medium,TMY,PASSIVE
9468,1.95,Small,Medium,TMY,PASSIVE
9469,2.39,Small,Medium,TMY,PASSIVE
9470,1.78,Small,Medium,TMY,PASSIVE
9471,1.24,Small,Medium,TMY,PASSIVE
9472,0.7,Small,Medium,TMY,PASSIVE
9473,0.19,Small,Medium,TMY,PASSIVE
9474,-0.21,Small,Medium,TMY,PASSIVE
9475,-0.22,Small,Medium,TMY,PASSIVE
9476,-0.23,Small,Medium,TMY,PASSIVE
9477,-0.24,Small,Medium,TMY,PASSIVE
9478,-0.26,Small,Medium,TMY,PASSIVE
9479,-0.28,Small,Medium,TMY,PASSIVE
9480,-0.3,Small,Medium,TMY,PASSIVE
9481,-0.31,Small,Medium,TMY,PASSIVE
9482,-0.32,Small,Medium,TMY,PASSIVE
9483,-0.33,Small,Medium,TMY,PASSIVE
9484,-0.34,Small,Medium,TMY,PASSIVE
9485,-0.31,Small,Medium,TMY,PASSIVE
9486,0.13,Small,Medium,TMY,PASSIVE
9487,0.58,Small,Medium,TMY,PASSIVE
9488,1.23,Small,Medium,TMY,PASSIVE
9489,1.9,Small,Medium,TMY,PASSIVE
9490,2.54,Small,Medium,TMY,PASSIVE
9491,1.91,Small,Medium,TMY,PASSIVE
9492,0.63,Small,Medium,TMY,PASSIVE
9493,0.86,Small,Medium,TMY,PASSIVE
9494,0.57,Small,Medium,TMY,PASSIVE
9495,0.47,Small,Medium,TMY,PASSIVE
9496,0.25,Small,Medium,TMY,PASSIVE
9497,0.23,Small,Medium,TMY,PASSIVE
9498,-0.25,Small,Medium,TMY,PASSIVE
9499,-0.27,Small,Medium,TMY,PASSIVE
9500,-0.26,Small,Medium,TMY,PASSIVE
9501,-0.25,Small,Medium,TMY,PASSIVE
9502,-0.25,Small,Medium,TMY,PASSIVE
9503,-0.29,Small,Medium,TMY,PASSIVE
9504,-0.32,Small,Medium,TMY,PASSIVE
9505,-0.35,Small,Medium,TMY,PASSIVE
9506,-0.37,Small,Medium,TMY,PASSIVE
9507,-0.35,Small,Medium,TMY,PASSIVE
9508,-0.38,Small,Medium,TMY,PASSIVE
9509,-0.37,Small,Medium,TMY,PASSIVE
9510,-0.13,Small,Medium,TMY,PASSIVE
9511,0.24,Small,Medium,TMY,PASSIVE
9512,0.51,Small,Medium,TMY,PASSIVE
9513,0.56,Small,Medium,TMY,PASSIVE
9514,0.75,Small,Medium,TMY,PASSIVE
9515,0.94,Small,Medium,TMY,PASSIVE
9516,1.16,Small,Medium,TMY,PASSIVE
9517,1.03,Small,Medium,TMY,PASSIVE
9518,0.81,Small,Medium,TMY,PASSIVE
9519,0.82,Small,Medium,TMY,PASSIVE
9520,0.7,Small,Medium,TMY,PASSIVE
9521,0.21,Small,Medium,TMY,PASSIVE
9522,-0.22,Small,Medium,TMY,PASSIVE
9523,-0.27,Small,Medium,TMY,PASSIVE
9524,-0.27,Small,Medium,TMY,PASSIVE
9525,-0.26,Small,Medium,TMY,PASSIVE
9526,-0.25,Small,Medium,TMY,PASSIVE
9527,-0.25,Small,Medium,TMY,PASSIVE
9528,-0.25,Small,Medium,TMY,PASSIVE
9529,-0.24,Small,Medium,TMY,PASSIVE
9530,-0.23,Small,Medium,TMY,PASSIVE
9531,-0.24,Small,Medium,TMY,PASSIVE
9532,-0.26,Small,Medium,TMY,PASSIVE
9533,-0.23,Small,Medium,TMY,PASSIVE
9534,0.21,Small,Medium,TMY,PASSIVE
9535,0.59,Small,Medium,TMY,PASSIVE
9536,1.23,Small,Medium,TMY,PASSIVE
9537,1.86,Small,Medium,TMY,PASSIVE
9538,2.45,Small,Medium,TMY,PASSIVE
